iter	Passed	Remaining
444	1220	1521
445	1223	1519
446	1226	1517
447	1231	1517
448	1237	1518
449	1240	1515
450	1242	1512
451	1245	1509
452	1247	1506
453	1250	1504
454	1253	1501
455	1255	1497
456	1257	1494
457	1260	1491
458	1264	1489
459	1267	1487
460	1269	1484
461	1272	1481
462	1274	1478
463	1278	1476
464	1281	1474
465	1283	1470
466	1285	1467
467	1287	1463
468	1290	1460
469	1295	1461
470	1298	1458
471	1300	1454
472	1302	1451
473	1305	1448
474	1307	1445
475	1312	1444
476	1314	1441
477	1317	1438
478	1320	1435
479	1325	1435
480	1328	1432
481	1330	1429
482	1332	1426
483	1334	1422
484	1337	1419
485	1339	1416
486	1341	1413
487	1343	1409
488	1345	1405
489	1347	1402
490	1349	1399
491	1352	1396
492	1355	1393
493	1357	1390
494	1359	1387
495	1361	1383
496	1363	1380
497	1365	1376
498	1370	1376
499	1373	1373
500	1375	1369
501	1377	1366
502	1379	1363
503	1383	1361
504	1386	1358
505	1388	1355
506	1391	1352
507	1393	1349
508	1396	1346
509	1398	1343
510	1401	1341
511	1404	1338
512	1406	1335
513	1408	1331
514	1410	1328
515	1412	1325
516	1415	1322
517	1417	1319
518	1419	1315
519	1421	1312
520	1423	1308
521	1425	1305
522	1428	1302
523	1430	1299
524	1432	1296
525	1434	1292
526	1436	1289
527	1438	1285
528	1440	1282
529	1442	1279
530	1444	1275
531	1446	1272
532	1448	1269
533	1450	1265
534	1452	1262
535	1455	1259
536	1457	1256
537	1459	1253
538	1461	1250
539	1463	1246
540	1465	1243
541	1468	1240
542	1470	1237
543	1472	1234
544	1475	1231
545	1477	1228
546	1479	1225
547	1481	1221
548	1483	1218
549	1485	1215
550	1488	1212
551	1490	1209
552	1492	1206
553	1494	1202
554	1496	1199
555	1498	1196
556	1499	1192
557	1502	1189
558	1504	1186
559	1506	1183
560	1508	1180
561	1510	1177
562	1511	1173
563	1513	1169
564	1515	1166
565	1516	1163
566	1518	1159
567	1520	1156
568	1522	1153
569	1524	1150
570	1526	1146
571	1528	1143
572	1530	1140
573	1532	1137
574	1534	1134
575	1536	1131
576	1538	1127
577	1541	1125
578	1543	1122
579	1545	1118
580	1547	1115
581	1549	1112
582	1550	1109
583	1552	1105
584	1554	1102
585	1555	1099
586	1557	1095
587	1559	1092
588	1560	1089
589	1563	1086
590	1564	1082
591	1566	1079
592	1568	1076
593	1569	1072
594	1571	1069
595	1572	1066
596	1574	1062
597	1575	1059
598	1577	1056
599	1579	1053
600	1581	1049
601	1582	1046
602	1584	1043
603	1586	1039
604	1587	1036
605	1589	1033
606	1591	1030
607	1593	1027
608	1595	1024
609	1597	1021
610	1598	1017
611	1600	1014
612	1602	1011
613	1604	1008
614	1606	1005
615	1608	1002
616	1610	999
617	1611	996
618	1613	993
619	1615	990
620	1617	987
621	1619	984
622	1621	981
623	1623	978
624	1625	975
625	1627	972
626	1628	968
627	1630	965
628	1632	962
629	1633	959
630	1635	956
631	1637	953
632	1639	950
633	1641	947
634	1643	944
635	1645	941
636	1647	938
637	1649	935
638	1650	932
639	1652	929
640	1654	926
641	1656	923
642	1657	920
643	1659	917
644	1661	914
645	1663	911
646	1668	910
647	1670	907
648	1671	904
649	1674	901
650	1676	898
651	1677	895
652	1679	892
653	1681	889
654	1683	886
655	1686	884
656	1687	881
657	1689	878
658	1691	875
659	1693	872
660	1694	869
661	1697	866
662	1699	863
663	1701	860
664	1703	858
665	1705	855
666	1707	852
667	1709	849
668	1712	847
669	1714	844
670	1716	841
671	1718	838
672	1720	835
673	1721	832
674	1723	829
675	1725	827
676	1728	824
677	1730	821
678	1731	818
679	1733	815
680	1735	813
681	1737	810
682	1739	807
683	1741	804
684	1743	801
685	1745	798
686	1746	795
687	1748	793
688	1752	790
689	1754	788
690	1757	785
691	1759	782
692	1760	780
693	1762	777
694	1764	774
695	1766	771
696	1767	768
697	1769	765
698	1771	762
699	1773	760
700	1775	757
701	1776	754
702	1778	751
703	1780	748
704	1782	745
705	1784	742
706	1785	740
707	1787	737
708	1789	734
709	1791	731
710	1792	728
711	1794	725
712	1796	723
713	1798	720
714	1799	717
715	1802	714
716	1804	712
717	1806	709
718	1808	706
719	1809	703
720	1811	700
721	1813	698
722	1815	695
723	1817	692
724	1819	690
725	1821	687
726	1823	684
727	1824	681
728	1826	679
729	1828	676
730	1831	674
731	1833	671
732	1835	668
733	1836	665
734	1838	662
735	1840	660
736	1841	657
737	1844	654
738	1845	651
739	1847	649
740	1849	646
741	1850	643
742	1852	640
743	1854	638
744	1856	635
745	1857	632
746	1859	629
747	1861	627
748	1862	624
749	1864	621
750	1866	618
751	1868	616
752	1870	613
753	1872	610
754	1874	608
755	1876	605
756	1878	602
757	1880	600
758	1881	597
759	1883	594
760	1885	592
761	1887	589
762	1888	586
763	1891	584
764	1893	581
765	1895	579
766	1897	576
767	1898	573
768	1900	570
769	1902	568
770	1903	565
771	1905	562
772	1907	560
773	1909	557
774	1910	554
775	1913	552
776	1914	549
777	1916	546
778	1918	544
779	1920	541
780	1922	538
781	1923	536
782	1925	533
783	1927	531
784	1929	528
785	1931	525
786	1932	523
787	1934	520
788	1936	517
789	1938	515
790	1939	512
791	1941	509
792	1943	507
793	1945	504
794	1946	502
795	1948	499
796	1950	496
797	1952	494
798	1954	491
799	1955	488
800	1957	486
801	1959	483
802	1961	481
803	1964	478
804	1965	476
805	1967	473
806	1969	470
807	1971	468
808	1973	465
809	1974	463
810	1976	460
811	1979	458
812	1981	455
813	1983	453
814	1985	450
815	1987	448
816	1988	445
817	1990	442
818	1992	440
819	1994	437
820	1995	435
821	1997	432
822	1999	429
823	2000	427
824	2002	424
825	2004	422
826	2006	419
827	2008	417
828	2010	414
829	2012	412
830	2014	409
831	2015	407
832	2017	404
833	2019	401
834	2020	399
835	2023	396
836	2025	394
837	2026	391
838	2028	389
839	2030	386
840	2032	384
841	2033	381
842	2035	379
843	2037	376
844	2039	374
845	2041	371
846	2042	369
847	2044	366
848	2046	363
849	2048	361
850	2049	358
851	2051	356
852	2054	354
853	2056	351
854	2057	348
855	2059	346
856	2061	344
857	2063	341
858	2065	338
859	2067	336
860	2069	334
861	2071	331
862	2073	329
863	2075	326
864	2077	324
865	2078	321
866	2080	319
867	2083	316
868	2085	314
869	2087	311
870	2088	309
871	2090	306
872	2091	304
873	2093	301
874	2095	299
875	2099	297
876	2101	294
877	2102	292
878	2104	289
879	2106	287
880	2108	284
881	2109	282
882	2111	279
883	2113	277
884	2115	274
885	2117	272
886	2119	269
887	2120	267
888	2122	265
889	2124	262
890	2126	260
891	2128	257
892	2130	255
